Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Rolling_14,Std_14,Upper_band,Lower_band
2017-05-16,AXISBANK,EQ,500.1,502.1,504.5,493.5,502.05,501.5,499.85,8610492,4303938307.25,101028,4027982,46.78,0.2799440111977525,Slight or No change,,,,
2017-05-17,AXISBANK,EQ,501.5,501.35,506.75,498.5,502.0,502.8,502.88,6443135,3240154192.85,84189,2876528,44.64,0.25922233300099684,Slight or No change,,,,
2017-05-18,AXISBANK,EQ,502.8,498.0,499.1,490.25,492.85,492.0,494.96,9227022,4566992829.2,95624,5348691,57.97,-2.1479713603818618,Negative,,,,
2017-05-19,AXISBANK,EQ,492.0,495.75,503.85,494.2,501.9,501.7,499.1,7611430,3798899956.75,72985,4190505,55.06,1.97154471544716,Positive,,,,
2017-05-22,AXISBANK,EQ,501.7,504.0,507.45,499.5,502.0,502.3,503.0,4970982,2500382611.3,62027,2665857,53.63,0.11959338249951655,Slight or No change,,,,
2017-05-23,AXISBANK,EQ,502.3,502.25,506.1,495.2,500.5,500.6,500.17,7549551,3776028090.15,69512,4120666,54.58,-0.33844316145729136,Slight or No change,,,,
2017-05-24,AXISBANK,EQ,500.6,503.0,505.0,495.0,499.65,499.3,498.39,7271148,3623901991.2,61592,4986725,68.58,-0.2596883739512612,Slight or No change,,,,
2017-05-25,AXISBANK,EQ,499.3,502.0,509.9,495.85,507.85,507.45,504.39,9157557,4619022578.05,106201,4220728,46.09,1.6322851992789822,Positive,,,,
2017-05-26,AXISBANK,EQ,507.45,508.0,513.0,505.0,510.5,511.45,508.86,5995136,3050682634.7,72779,2824290,47.11,0.7882550004926658,Slight positive,,,,
2017-05-29,AXISBANK,EQ,511.45,511.9,515.0,502.2,507.45,507.25,507.58,5441466,2761995514.45,62036,2462115,45.25,-0.8211946426825656,Slight negative,,,,
2017-05-30,AXISBANK,EQ,507.25,505.0,516.95,503.65,514.0,514.4,512.4,4725430,2421320429.3,81509,1690453,35.77,1.4095613602759904,Positive,,,,
